q18
Country,q#3,q#4,q#5_min,q#5_max,q#5_avg,q#5_var,q#6_min,q#6_max,q#6_avg,q#6_var,q#7_min,q#7_max,q#7_avg,q#7_var,q#8_min,q#8_max,q#8_avg,q#8_var,q#9_min,q#9_max,q#9_avg,q#9_var,q#10_min,q#10_max,q#10_avg,q#10_var,q#11,q#12_min,q#12_max,q#12_avg,q#12_var,q#13_min,q#13_max,q#13_avg,q#13_var,q#14,q#15,q#16,q#17_population,q#17_median_age,q#17_#_of_people_aged_65_older,q#17_#_of_people_aged_70_older,q#17_economic_performance,q#17_death_rates_due_to_heart_disease,q#17_diabetes_prevalence,q#17_#_of_female_smokers,q#17_#_of_male_smokers,q#17_handwashing_facilities,q#17_hospital_beds_per_thousand_people,q#17_life_expectancy,q#17_human_development_index
Afghanistan,58542,2565,0.51,1.53,1.0361282051282046,0.0776868040762656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240000,,240000,38928341.0,18.6,2.581,1.337,1803.987,597.029,9.59,,,37.746,0.5,64.83,0.511
Africa,4487054,119604,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11836938,4714005,16763320,1340598113.0,,,,,,,,,,,,
Albania,130270,2367,0.66,1.65,1.052177215189873,0.03271829770870052,,,,,,,,,,,,,,,,,1.0,4562.0,1418.4976076555024,1606403.5227215495,592932,0.032,0.409,0.1884331683168317,0.006745230682040977,2.4,31.6,7.110396039603962,25.370733506518967,6073,655,391351,2877800.0,38.0,13.188,8.643,11803.431,304.195,10.08,7.1,51.2,,2.89,78.57,0.795
Algeria,120562,3190,0.73,2.0,1.0431486146095723,0.05643164793888674,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75000,43851043.0,29.1,6.211,3.857,13913.839,278.364,6.73,0.7,30.4,83.741,1.9,76.88,0.748
Andorra,13007,123,0.09,1.68,0.9586616161616157,0.16616916832466078,,,,,,,,,,,,,,,,,,,,,177079,0.064,0.157,0.0921588785046729,0.0004366756922001922,6.4,15.6,11.356074766355139,5.392556555157655,21733,4681,26414,77265.0,,,,,109.135,7.97,29.0,37.8,,,83.73,0.868
Angola,25279,574,0.88,1.3,1.0773101265822789,0.01424751141643967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,395447,,395447,32866268.0,16.8,2.405,1.362,5819.495,276.045,3.94,,,26.664,,61.15,0.581
Anguilla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5835,,5835,15002.0,,,,,,,,,,,81.88,
Antigua and Barbuda,1222,31,0.33,1.33,0.75,0.07579130434782609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29754,,29754,97928.0,32.1,6.933,4.631,21490.943,191.511,13.17,,,,3.8,77.02,0.778
Argentina,2824652,61176,0.86,2.17,1.139824120603015,0.04169167760915128,,,,,,,,,,,,,,,,,1.0,63643.0,18894.940639269407,200860174.01930732,8275984,0.012,0.439,0.21909490740740728,0.01234102571480624,2.3,83.3,7.455787037037043,108.37413317686902,6149835,867444,7017279,45195777.0,31.9,11.198,7.441,18933.907,191.032,5.5,16.2,27.7,,5.0,76.67,0.845
Armenia,212114,3984,0.63,1.6,1.0820300751879701,0.05823322215312718,,,,,,,,,,,,,,,,,117.0,6354.0,2822.6688741721855,2082772.115521249,951500,0.049,0.504,0.20426865671641795,0.01341151488824534,2.0,20.4,7.0768656716417935,21.437101618771813,0,,0,2963234.0,35.7,11.232,7.571,8787.58,341.01,7.11,1.5,52.1,94.043,4.2,75.09,0.776
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48061,19889,67950,106766.0,41.2,13.085,7.452,35973.781,,11.62,,,,,76.29,
Asia,36102611,486137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,180909399,52714115,460934603,4639847425.0,,,,,,,,,,,,
Australia,29653,910,0.38,2.45,1.036838235294118,0.17562309147923877,,,,,,,,,,,,,,,,,4357.0,101274.0,41380.004048582996,407600304.530348,16488916,0.0,0.038,0.0020128534704370194,2.4552534017089495e-05,26.4,15342.2,2749.713110539847,6535703.423298552,159294,,1914347,25499881.0,37.9,15.504,10.129,44648.71,107.791,5.07,13.0,16.5,,3.84,83.44,0.944
Austria,604823,10055,0.44,3.13,1.1072439024390233,0.1619955746579417,6.0,709.0,235.33420365535247,44945.50710687237,52.0,3985.0,1057.3707571801567,1120000.3690665283,,,,,,,,,2376.0,2945871.0,77435.16449086161,34051384668.440304,29597609,0.004,0.247,0.05687313432835818,0.004313834651370015,4.1,249.1,64.83171641791043,3992.8709716807753,1986215,774946,2761161,9006400.0,44.4,19.202,13.748,45436.686,145.183,6.35,28.4,30.9,,7.37,81.54,0.922
Azerbaijan,309789,4307,0.41,1.86,1.0980102040816322,0.10874757132444815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,934906,477575,1412481,10139175.0,32.4,6.018,3.871,15847.419,559.812,7.11,0.3,42.5,83.241,4.7,73.0,0.756
Bahamas,9976,196,0.19,2.21,1.0229041916167658,0.1494349788447058,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15000,,15000,393248.0,34.3,8.996,5.2,27717.847,235.954,13.17,3.1,20.4,,2.9,73.92,0.814
Bahrain,169254,617,0.85,1.48,1.0852450980392156,0.020269057574009996,,,,,,,,,,,,,,,,,232.0,23177.0,10113.438095238096,18661020.531882085,3967761,0.009,0.079,0.040051724137931004,0.000286467767963309,12.6,110.9,31.722660098522194,327.61697420466396,646919,509887,1156806,1701583.0,32.4,2.372,1.387,43290.705,151.689,16.52,5.8,37.6,,2.0,77.29,0.852
Bangladesh,739703,10869,0.79,2.8,1.1136745406824156,0.12093085470615386,,,,,,,,,,,,,,,,,3.0,34968.0,12707.675544794189,43152042.34509201,5248270,0.009,0.243,0.12844938271604933,0.004402805462581923,4.1,113.1,12.814074074074076,175.79627105624144,5798880,2155296,7954176,164689383.0,27.5,5.098,3.262,3523.984,298.003,8.38,1.0,44.7,34.808,0.8,72.59,0.632
Barbados,3820,44,0.45,1.2,0.8939298245614038,0.03983999507540781,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,71350,,71350,287371.0,39.8,14.952,9.473,16978.068,170.05,13.57,1.9,14.5,88.469,5.8,79.19,0.814
Belarus,350221,2473,0.66,2.66,1.0905927835051556,0.10525918469019024,,,,,,,,,,,,,,,,,1000.0,21452.0,9494.307692307691,20334565.328402366,5723427,0.001,0.122,0.056357843137254914,0.001138670967896963,8.2,1424.2,41.672549019607835,8910.845128796616,244000,84500,328500,9449321.0,40.3,14.799,9.788,17167.967,443.129,5.18,10.5,46.1,,11.0,74.79,0.823
Belgium,968107,23954,0.62,2.77,1.126553398058252,0.16699685879913284,23.0,1474.0,466.935,162997.800775,130.0,7461.0,2171.675,3452604.319375,,,,,70.408,4759.588,1172.2255862068967,1241160.1666810703,82.0,87170.0,29150.292565947242,397041809.4012158,12155672,0.009,0.327,0.08339659367396599,0.0057524826161341695,3.1,111.1,26.43771289537718,693.0514974455513,2608673,746704,3355377,11589616.0,41.8,18.571,12.849,42658.576,114.898,4.29,25.1,31.4,,5.64,81.63,0.931
Belize,12599,321,0.58,1.45,0.935289575289576,0.04639711691835244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38176,,38176,397621.0,25.0,3.853,2.279,7824.362,176.957,17.11,,,90.083,1.3,74.62,0.716
Benin,7720,97,0.83,1.15,0.9645428571428573,0.006852791020408167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12123198.0,18.8,3.244,1.942,2064.236,235.848,0.99,0.6,12.3,11.035,0.5,61.77,0.545
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30094,22243,52337,62273.0,,,,50669.315,139.547,13.0,,,,,82.59,
Bhutan,1008,1,0.26,1.48,0.7964285714285712,0.0854500268528464,,,,,,,,,,,,,,,,,2.0,15058.0,1666.1246612466125,4807679.778497513,681537,0.0,0.012,0.0021804123711340224,5.323121479434583e-06,83.6,18720.3,2122.371306818182,15350893.909261929,479495,,479495,771612.0,28.6,4.885,2.977,8708.597,217.066,9.75,,,79.807,1.7,71.78,0.654
Bolivia,295892,12783,0.71,1.58,1.0948578811369523,0.05901257670145357,,,,,,,,,,,,,,,,,1.0,13347.0,2755.8130081300815,6011557.333597726,1079928,0.06,0.636,0.29016624685138565,0.02549839553578793,1.6,16.8,4.910831234256932,9.041922986631475,431138,188656,619794,11673029.0,25.4,6.704,4.393,6885.829,204.299,6.89,,,25.383,1.1,71.51,0.718
Bosnia and Herzegovina,194733,8203,0.83,1.6,1.1315656565656562,0.041795528517498216,,,,,,,,,,,,,,,,,-75493.0,16699.0,2175.3695652173915,24742473.261972275,884114,0.011,0.742,0.17858510638297878,0.013180806586690809,1.3,87.4,11.82234042553192,230.33966047985516,,,15000,3280815.0,42.5,16.569,10.711,11713.895,329.635,10.08,30.2,47.7,97.164,3.5,77.4,0.78
Botswana,45855,691,0.81,1.34,1.0585858585858592,0.027583858789919403,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31628,,31628,2351625.0,25.8,3.941,2.242,15807.374,237.372,4.81,5.7,34.4,,1.8,69.59,0.735
Brazil,14237078,386416,0.9,2.7,1.1659506172839502,0.10592187410455725,,,,,,,,,,,,,,,,,,,,,6421441,,,,,,,,,26501024,10838229,37339253,212559409.0,33.5,8.552,5.06,14103.452,177.961,8.11,10.1,17.9,,2.2,75.88,0.765
Brunei,223,3,0.0,0.81,0.20626903553299492,0.07982542000566879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2323,,2323,437483.0,32.4,4.591,2.382,71809.251,201.285,12.79,2.0,30.9,,2.7,75.86,0.838
Bulgaria,396302,15826,0.59,1.8,1.1050251256281411,0.06557826570036111,8.0,813.0,229.58201058201058,56284.08454410571,132.0,10649.0,2921.60582010582,8971318.857849725,,,,,,,,,295.0,20611.0,6565.047619047619,22715593.766439907,2419383,0.012,0.406,0.1261002710027101,0.012721781273639295,2.5,85.0,17.423848238482393,225.56051527236136,556719,160221,716940,6948445.0,44.7,20.801,13.272,18563.307,424.688,5.81,30.1,44.4,,7.454,75.05,0.816
Burkina Faso,13231,156,0.71,1.46,1.0098730964466995,0.024622572727975474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20903278.0,17.6,2.409,1.358,1703.102,269.048,2.42,1.6,23.9,11.877,0.4,61.58,0.452
Burundi,3759,6,0.6,1.27,0.9347741935483874,0.04149269094693028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11890781.0,17.5,2.562,1.504,702.225,293.068,6.05,,,6.144,0.8,61.58,0.433
Cambodia,8848,61,0.03,1.7,0.614550128534704,0.22996104440229712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1282196,633770,1915966,16718971.0,25.6,4.412,2.385,3645.07,270.892,4.0,2.0,33.7,66.229,0.8,69.82,0.594
Cameroon,65998,991,0.31,1.53,0.8423907455012857,0.11139299898890441,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,400,,400,26545864.0,18.8,3.165,1.919,3364.926,244.661,7.2,,,2.735,1.3,59.29,0.563
Canada,1172697,23870,0.72,2.85,1.1334889434889432,0.13789249557799926,0.0,1367.0,402.036496350365,94866.13735414781,4.0,4879.0,1868.9756690997567,1794227.0067072774,,,,,,,,,18.0,154862.0,73275.31325301205,1675862369.092234,30411387,0.0,0.14,0.03641818181818183,0.0006784069421487603,7.1,181.7,50.42700228832956,1873.772177054915,10744946,1001263,11746209,37742157.0,41.4,16.984,10.797,44017.591,105.599,7.37,12.0,16.6,,2.5,82.43,0.929
Cape Verde,21784,201,0.89,1.34,1.0788919667590013,0.013305697470093079,,,,,,,,,,,,,,,,,50.0,1619.0,435.53090909090906,55903.478135537196,,0.071,0.216,0.14702484472049676,0.0008186577678330312,4.6,14.1,7.096273291925466,2.4850792793487906,2184,,2184,555988.0,25.7,4.46,3.437,6222.554,182.219,2.42,2.1,16.5,,2.1,72.98,0.665
Cayman Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34786,28988,63774,65720.0,,,,49903.029,,13.22,,,,,83.92,
Central African Republic,6224,85,0.17,1.65,0.6306303724928366,0.13011880033825668,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4829764.0,18.3,3.655,2.251,661.24,435.727,6.1,,,16.603,1.0,53.28,0.397
Chad,4747,169,0.51,1.37,0.9713239436619739,0.04314838801825035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16425859.0,16.7,2.486,1.446,1768.153,280.995,6.1,,,5.818,,54.24,0.398
Chile,1155902,25641,0.8,2.86,1.124367245657568,0.0979422174879471,,,,,,,,,,,,,,,,,2759.0,79262.0,33085.21164021164,347604827.9763725,12574563,0.043,0.364,0.11754959785522802,0.007301346735763214,2.7,23.3,12.057908847184988,33.41846962171797,7905200,6017265,13922465,19116209.0,35.4,11.087,6.938,22767.037,127.993,8.46,34.2,41.5,,2.11,80.18,0.851
China,102872,4850,0.19,3.45,1.0044956140350874,0.25795325436672817,,,,,,,,,,,,,,,,,,,,,160000000,,,,,,,,,,,216084000,1439323774.0,38.7,10.641,5.929,15308.712,261.899,9.74,1.9,48.4,,4.34,76.91,0.761
Colombia,2740544,70446,0.68,2.22,1.1344249999999996,0.059107669375,,,,,,,,,,,,,,,,,10885.0,93133.0,42633.301242236026,280837781.6080109,14095309,0.098,0.332,0.21783280757097773,0.003522574570350984,3.0,10.2,5.040063091482645,3.0873854849784563,2998063,1320251,4318314,50882884.0,32.2,7.646,4.312,13254.949,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767
Comoros,3826,146,0.6,1.24,0.8136391437308865,0.025426206174190346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,869595.0,20.4,2.963,1.726,1413.89,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554
Congo,10084,139,0.2,0.94,0.548037634408602,0.04689372976644699,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,5518092.0,19.0,3.402,2.063,4881.406,344.094,7.2,1.7,52.3,47.964,,64.57,0.574
Costa Rica,236930,3136,0.74,1.53,1.1213098236775825,0.03470659670450291,,,,,,,,,,,,,,,,,1.0,6308.0,1857.3795620437957,1639132.6685847233,763383,0.022,0.426,0.2227037037037035,0.01630894924554184,2.3,45.5,8.188641975308647,68.20994506934919,450593,247734,698327,5094114.0,33.6,9.468,5.694,15524.995,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81
Cote d'Ivoire,45765,279,0.57,1.48,1.0685166240409198,0.047158413406505714,,,,,,,,,,,,,,,,,68.0,5774.0,1562.969014084507,1291880.3793215635,577798,0.015,0.295,0.08249863760217979,0.0037909475458277955,3.4,65.2,20.36348773841963,208.44885759044908,109077,,109077,26378275.0,18.7,2.933,1.582,3601.006,303.74,2.42,,,19.351,,57.78,0.538
